LOCPOST;timestamp;total_rows;reconstructed_rows;volume_TOTAL;volume_PW;volume_VR;volume_PAE;vol_rec_total;vol_rec_kl_gaten;vol_rec_geslvak;vol_rec_typed;avg_availability;pct_rows_reconstructed;pct_vol_reconstructed;pct_vol_reco_kl_gaten;pct_vol_reco_geslvak;pct_vol_reco_typed
129003;2026-03-25;1;1;8603;4808;3795;12398.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
129004;2026-03-25;1;0;7287;3353;3934;11221.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
129005;2026-03-25;1;1;6794;3103;3691;10485.0;67.94;67.94;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
129006;2026-03-25;1;0;8373;4958;3415;11788.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
129007;2026-03-25;1;1;14929;9093;5836;20765.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
129008;2026-03-25;1;0;14980;9055;5925;20905.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
129009;2026-03-25;1;1;15197;9248;5949;21146.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
129010;2026-03-25;1;1;8873;5015;3858;12731.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
129101;2026-03-25;1;1;20946;13479;7467;28413.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
129102;2026-03-25;1;1;19801;12704;7097;26898.0;594.03;0.0;0.0;594.03;100.0;100.0;3.0;0.0;0.0;3.0
129103;2026-03-25;1;0;2525;1102;1423;3948.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
129104;2026-03-25;1;1;2524;751;1773;4297.0;2524.0;0.0;0.0;2524.0;100.0;100.0;100.0;0.0;0.0;100.0
129105;2026-03-25;1;0;2706;753;1953;4659.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
129106;2026-03-25;1;1;3362;1705;1657;5019.0;3362.0;0.0;0.0;3362.0;100.0;100.0;100.0;0.0;0.0;100.0
129503;2026-03-25;1;0;3656;3451;205;3861.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
129504;2026-03-25;1;0;3441;3254;187;3628.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
